Station,Type,line,Longitude,Latitude,Aliases
"Rümlang, Bahnhof",bus station,510|742|795|797,8.5325964,47.4539603,rumlangbahnhof
"Rümlang, Bäuler",tram station,10|12|510,8.557897,47.4355484,bauler|rumlangbauler
"Rümlang, Chilestieg",bus station,795,8.5256749,47.4468656,chilestieg|rumlangchilestieg
"Rümlang, Gemeindehaus",bus station,742|795,8.5298333,47.4498487,rumlanggemeindehaus
"Rümlang, Heuelstrasse",bus station,742|795,8.5281718,47.452248,heuelstr|heuelstrasse|rumlang heuelstr|rumlangheuelstrasse
"Rümlang, Hofwisenunterführung",bus station,797,8.5368311,47.4522381,hofwisenunterfuhrung|rumlanghofwisenunterfuhrung
"Rümlang, Hörnlistrasse",bus station,742|795,8.5306636,47.4457212,rumlang hornlistr|rumlanghornlistrasse
"Rümlang, Ifangstrasse",bus station,795,8.5359005,47.4482622,ifangstr|ifangstrasse|rumlang ifangstr|rumlangifangstrasse
"Rümlang, Letten",bus station,742,8.5348779,47.4385304,rumlangletten
"Rümlang, Oberdorf",station,,8.5302346,47.4519587,rumlangoberdorf
"Rümlang, Riedmatt",bus station,510,8.5276354,47.4623273,rumlangriedmatt
"Rümlang, Riedmattstrasse",bus station,797,8.5269816,47.461488,riedmattstr|riedmattstrasse|rumlang riedmattstr|rumlangriedmattstrasse
"Rümlang, Rümelbach",bus station,510,8.5399814,47.4500314,rumelbach|rumlangrumelbach
"Rümlang, Zürichweg",bus station,795,8.527186,47.4487853,rumlangzurichweg|zurichweg
Rüschlikon,train station,EXT|S|S8|S23|S24|SN8,8.5551345,47.3069801,
Rüschlikon (See),station,3731,8.5584627,47.3099163,ruschlikonsee
"Rüschlikon, Bahnhof",bus station,165|N16,8.5535991,47.3081824,ruschlikonbahnhof
"Rüschlikon, Belvoir",bus station,165|N16,8.5486555,47.3070426,belvoir|ruschlikonbelvoir
"Rüschlikon, Bodengasse",bus station,165|N16,8.5527068,47.3104218,bodengasse|ruschlikonbodengasse
"Rüschlikon, Eggrain",bus station,156|165|N16,8.5441362,47.3046663,eggrain|ruschlikoneggrain
"Rüschlikon, Langhaldenstrasse",bus station,165|N16,8.5511084,47.3060745,langhaldenstr|langhaldenstrasse|ruschlikon langhaldenstr|ruschlikonlanghaldenstrasse
"Rüschlikon, Loorain",bus station,156|165|N16,8.5420607,47.3072588,loorain|ruschlikonloorain
"Rüschlikon, Moosstrasse",bus station,156|165|N16,8.545111,47.30257,ruschlikon moosstr|ruschlikonmoosstrasse
"Rüschlikon, Park im Grüene",bus station,156|165|N16,8.550393,47.3002974,park im gruene|parkimgruene|ruschlikonparkimgruene
"Rüschlikon, Rebsteig",bus station,N16,8.5507632,47.3123566,rebsteig|ruschlikonrebsteig
"Rüschlikon, Schlossstrasse",bus station,165|N16,8.5537934,47.3136856,ruschlikon schlossstr|ruschlikonschlossstrasse|schlossstr|schlossstrasse
"Rüschlikon, Säumerstrasse",bus station,165|N16,8.5461649,47.30811,ruschlikon saumerstr|ruschlikonsaumerstrasse
"Rüschlikon, Weidstrasse",bus station,165|N16,8.552939,47.305706,ruschlikon weidstr|ruschlikonweidstrasse
"Rüstenschwil, Kreuzung",bus station,344,8.3655,47.2273,rustenschwilkreuzung
Rüti ZH,train station,S|S5|S14|S15|S26|SN5,8.8545681,47.2604315,rutizh
"Rüti ZH, Bahnhof",bus station,631|854|870|878|880|884|885|888|EV1|N85,8.8547848,47.2601319,rutizhbahnhof
"Rüti ZH, Bandwies",bus station,884,8.8495776,47.257605,bandwies|rutizhbandwies
"Rüti ZH, Bergacher",bus station,884|888,8.8556777,47.250954,bergacher|rutizhbergacher
"Rüti ZH, Ferrach",bus station,631|888,8.8580866,47.2555933,ferrach|rutizhferrach
"Rüti ZH, Gruebenplatz",bus station,884|888,8.8540664,47.2519724,gruebenplatz|gruebenplz|ruti zh gruebenplz|rutizhgruebenplatz
"Rüti ZH, Gubel",bus station,854|885|N85,8.8614714,47.2601395,gubel|rutizhgubel
"Rüti ZH, Jonamarkt",bus station,880|885|888,8.8495345,47.2589729,jonamarkt|rutizhjonamarkt
"Rüti ZH, Laufenbach",bus station,854|885|N85,8.8645407,47.2617569,laufenbach|rutizhlaufenbach
"Rüti ZH, Löwen",bus station,631|884,8.8515645,47.2587861,rutizhlowen
"Rüti ZH, Moosstrasse",bus station,884|888,8.8561379,47.2558512,ruti zh moosstr|rutizhmoosstrasse
"Rüti ZH, Pilgerhof",bus station,854|885|N85,8.8688111,47.2672635,pilgerhof|rutizhpilgerhof
"Rüti ZH, Rekrutierungszentrum",bus station,880,8.8430568,47.2598706,rekrutierungszentrum|rutizhrekrutierungszentrum
"Rüti ZH, Seefeldstrasse",bus station,885|888,8.8434495,47.252696,ruti zh seefeldstr|rutizhseefeldstrasse|seefeldstr|seefeldstrasse
"Rüti ZH, Sonnenplatz",station,,8.8547557,47.2565429,ruti zh sonnenplz|rutizhsonnenplatz|sonnenplatz|sonnenplz
